N;Уровень(см);Объем(м3)
604;604;513.327
605;605;514.181
606;606;515.036
607;607;515.89
608;608;516.744
609;609;517.599
610;610;518.453
611;611;519.308
612;612;520.163
613;613;521.018
614;614;521.872
615;615;522.727
616;616;523.581
617;617;524.436
618;618;525.291
619;619;526.146
620;620;527.001
621;621;527.855
622;622;528.71
623;623;529.565
624;624;530.42
625;625;531.275
626;626;532.129
627;627;532.984
628;628;533.839
629;629;534.694
630;630;535.55
631;631;536.405
632;632;537.26
633;633;538.115
634;634;538.97
635;635;539.825
636;636;540.681
637;637;541.536
638;638;542.391
639;639;543.246
640;640;544.101
641;641;544.957
642;642;545.812
643;643;546.667
644;644;547.522
645;645;548.377
646;646;549.233
647;647;550.088
648;648;550.943
649;649;551.798
650;650;552.654
651;651;553.509
652;652;554.364
653;653;555.22
654;654;556.076
655;655;556.931
656;656;557.787
657;657;558.642
658;658;559.498
659;659;560.353
660;660;561.208
661;661;562.064
662;662;562.919
663;663;563.775
664;664;564.63
665;665;565.485
666;666;566.34
667;667;567.196
668;668;568.051
669;669;568.907
670;670;569.762
671;671;570.617
672;672;571.473
673;673;572.328
674;674;573.184
675;675;574.039
676;676;574.894
677;677;575.749
678;678;576.604
679;679;577.46
680;680;578.315
681;681;579.17
682;682;580.026
683;683;580.881
684;684;581.736
685;685;582.592
686;686;583.447
687;687;584.303
688;688;585.158
689;689;586.014
690;690;586.869
691;691;587.725
692;692;588.58
693;693;589.436
694;694;590.291
695;695;591.146
696;696;592.001
697;697;592.856
698;698;593.711
699;699;594.566
700;700;595.422
701;701;596.277
702;702;597.132
703;703;597.987
704;704;598.842
705;705;599.698
706;706;600.553
707;707;601.408
708;708;602.263
709;709;603.118
710;710;603.973
711;711;604.828
712;712;605.684
713;713;606.539
714;714;607.395
715;715;608.25
716;716;609.105
717;717;609.96
718;718;610.814
719;719;611.669
720;720;612.524
721;721;613.379
722;722;614.234
723;723;615.089
724;724;615.943
725;725;616.798
726;726;617.653
727;727;618.508
728;728;619.362
729;729;620.216
730;730;621.071
731;731;621.926
732;732;622.781
733;733;623.635
734;734;624.488
735;735;625.342
736;736;626.196
737;737;627.051
738;738;627.906
739;739;628.76
740;740;629.615
741;741;630.469
742;742;631.323
743;743;632.177
744;744;633.031
745;745;633.886
746;746;634.74
747;747;635.594
748;748;636.448
749;749;637.302
750;750;638.156
751;751;639.011
752;752;639.866
753;753;640.72
754;754;641.574
755;755;642.428
756;756;643.282
757;757;644.137
758;758;644.992
759;759;645.846
760;760;646.701
761;761;647.556
762;762;648.41
763;763;649.265
764;764;650.12
765;765;650.974
766;766;651.829
767;767;652.684
768;768;653.539
769;769;654.394
770;770;655.248
771;771;656.103
772;772;656.958
773;773;657.813
774;774;658.668
775;775;659.522
776;776;660.377
777;777;661.232
778;778;662.086
779;779;662.941
780;780;663.796
781;781;664.651
782;782;665.506
783;783;666.361
784;784;667.216
785;785;668.071
786;786;668.926
787;787;669.781
788;788;670.635
789;789;671.49
790;790;672.344
791;791;673.199
792;792;674.053
793;793;674.908
794;794;675.763
795;795;676.618
796;796;677.472
797;797;678.327
798;798;679.181
799;799;680.036
800;800;680.89
801;801;681.745
802;802;682.599
803;803;683.454
804;804;684.308
805;805;685.163
806;806;686.018
807;807;686.873
808;808;687.728
809;809;688.583
810;810;689.438
811;811;690.292
812;812;691.147
813;813;692.002
814;814;692.857
815;815;693.712
