N;Уровень(см);Объем(м3)
787;787;1339.562
788;788;1341.27
789;789;1342.98
790;790;1344.688
791;791;1346.398
792;792;1348.106
793;793;1349.816
794;794;1351.526
795;795;1353.236
796;796;1354.944
797;797;1356.654
798;798;1358.362
799;799;1360.072
800;800;1361.78
801;801;1363.49
802;802;1365.198
803;803;1366.908
804;804;1368.616
805;805;1370.326
806;806;1372.036
807;807;1373.746
808;808;1375.456
809;809;1377.166
810;810;1378.876
811;811;1380.584
812;812;1382.294
813;813;1384.004
814;814;1385.714
815;815;1387.424
816;816;1389.134
817;817;1390.844
818;818;1392.554
819;819;1394.264
820;820;1395.974
821;821;1397.682
822;822;1399.392
823;823;1401.102
824;824;1402.812
825;825;1404.524
826;826;1406.232
827;827;1407.942
828;828;1409.654
829;829;1411.364
830;830;1413.074
831;831;1414.784
832;832;1416.494
833;833;1418.204
834;834;1419.914
835;835;1421.624
836;836;1423.334
837;837;1425.044
838;838;1426.754
839;839;1428.464
840;840;1430.174
841;841;1431.884
842;842;1433.594
843;843;1435.304
844;844;1437.016
845;845;1438.726
846;846;1440.434
847;847;1442.146
848;848;1443.856
849;849;1445.566
850;850;1447.276
851;851;1448.988
852;852;1450.698
853;853;1452.406
854;854;1454.118
855;855;1455.828
856;856;1457.538
857;857;1459.248
858;858;1460.958
859;859;1462.668
860;860;1464.38
861;861;1466.09
862;862;1467.798
863;863;1469.508
864;864;1471.218
865;865;1472.928
866;866;1474.638
867;867;1476.348
868;868;1478.058
869;869;1479.768
870;870;1481.476
871;871;1483.186
872;872;1484.896
873;873;1486.604
874;874;1488.312
875;875;1490.02
876;876;1491.73
877;877;1493.436
878;878;1495.144
879;879;1496.852
880;880;1498.56
881;881;1500.268
882;882;1501.976
883;883;1503.684
884;884;1505.392
885;885;1507.098
886;886;1508.806
887;887;1510.514
888;888;1512.222
889;889;1513.93
890;890;1515.638
891;891;1517.346
892;892;1519.052
893;893;1520.76
894;894;1522.468
895;895;1524.174
896;896;1525.882
897;897;1527.59
898;898;1529.298
899;899;1531.004
900;900;1532.712
901;901;1534.42
902;902;1536.128
903;903;1537.834
904;904;1539.542
905;905;1541.25
906;906;1542.958
907;907;1544.664
908;908;1546.372
909;909;1548.082
910;910;1549.788
911;911;1551.496
912;912;1553.202
913;913;1554.908
914;914;1556.614
915;915;1558.32
916;916;1560.028
917;917;1561.736
918;918;1563.446
919;919;1565.154
920;920;1566.862
921;921;1568.57
922;922;1570.278
923;923;1571.984
924;924;1573.694
925;925;1575.402
926;926;1577.11
927;927;1578.82
928;928;1580.53
929;929;1582.238
930;930;1583.95
931;931;1585.658
932;932;1587.368
933;933;1589.076
934;934;1590.786
935;935;1592.496
936;936;1594.204
937;937;1595.914
938;938;1597.622
939;939;1599.332
940;940;1601.04
941;941;1602.75
942;942;1604.46
943;943;1606.17
944;944;1607.878
945;945;1609.588
946;946;1611.298
947;947;1613.008
948;948;1614.718
949;949;1616.428
950;950;1618.136
951;951;1619.846
952;952;1621.556
953;953;1623.266
954;954;1624.976
955;955;1626.686
956;956;1628.396
957;957;1630.106
958;958;1631.816
959;959;1633.528
960;960;1635.238
961;961;1636.946
962;962;1638.656
963;963;1640.366
964;964;1642.074
965;965;1643.784
966;966;1645.494
967;967;1647.204
968;968;1648.914
969;969;1650.622
970;970;1652.332
971;971;1654.044
972;972;1655.752
973;973;1657.462
974;974;1659.172
975;975;1660.88
976;976;1662.59
977;977;1664.3
978;978;1666.01
979;979;1667.718
980;980;1669.428
981;981;1671.138
982;982;1672.848
983;983;1674.558
984;984;1676.268
985;985;1677.978
986;986;1679.688
987;987;1681.396
988;988;1683.104
989;989;1684.814
990;990;1686.522
991;991;1688.232
992;992;1689.942
993;993;1691.652
994;994;1693.36
995;995;1695.068
996;996;1696.778
997;997;1698.486
998;998;1700.196
999;999;1701.904
1000;1000;1703.612
1001;1001;1705.32
1002;1002;1707.028
1003;1003;1708.738
1004;1004;1710.448
1005;1005;1712.154
1006;1006;1713.862
1007;1007;1715.572
1008;1008;1717.28
1009;1009;1718.988
1010;1010;1720.696
1011;1011;1722.404
1012;1012;1724.114
1013;1013;1725.822
1014;1014;1727.53
1015;1015;1729.238
1016;1016;1730.946
1017;1017;1732.654
1018;1018;1734.362
1019;1019;1736.07
1020;1020;1737.778
1021;1021;1739.488
1022;1022;1741.194
1023;1023;1742.902
1024;1024;1744.61
1025;1025;1746.318
1026;1026;1748.026
1027;1027;1749.732
1028;1028;1751.44
1029;1029;1753.148
1030;1030;1754.856
1031;1031;1756.564
1032;1032;1758.272
1033;1033;1759.978
1034;1034;1761.686
1035;1035;1763.394
1036;1036;1765.102
1037;1037;1766.81
1038;1038;1768.516
1039;1039;1770.222
1040;1040;1771.928
1041;1041;1773.634
1042;1042;1775.342
1043;1043;1777.048
1044;1044;1778.754
1045;1045;1780.46
1046;1046;1782.168
1047;1047;1783.874
1048;1048;1785.578
1049;1049;1787.284
1050;1050;1788.99
1051;1051;1790.698
1052;1052;1792.406
1053;1053;1794.114
1054;1054;1795.82
1055;1055;1797.526
1056;1056;1799.232
1057;1057;1800.94
1058;1058;1802.648
1059;1059;1804.356
1060;1060;1806.064
1061;1061;1807.772
1062;1062;1809.48
1063;1063;1811.188
1064;1064;1812.894
1065;1065;1814.602
1066;1066;1816.31
1067;1067;1818.018
1068;1068;1819.726
1069;1069;1821.432
1070;1070;1823.14
1071;1071;1824.848
1072;1072;1826.556
1073;1073;1828.264
1074;1074;1829.972
1075;1075;1831.678
1076;1076;1833.386
1077;1077;1835.094
1078;1078;1836.8
1079;1079;1838.508
1080;1080;1840.214
1081;1081;1841.92
1082;1082;1843.628
1083;1083;1845.336
1084;1084;1847.044
1085;1085;1848.752
1086;1086;1850.46
1087;1087;1852.168
1088;1088;1853.874
1089;1089;1855.582
1090;1090;1857.29
1091;1091;1859
1092;1092;1860.708
1093;1093;1862.414
1094;1094;1864.122
1095;1095;1865.832
1096;1096;1867.54
1097;1097;1869.25
1098;1098;1870.958
1099;1099;1872.664
1100;1100;1874.372
1101;1101;1876.078
1102;1102;1877.788
1103;1103;1879.498
1104;1104;1881.208
1105;1105;1882.916
1106;1106;1884.626
1107;1107;1886.332
1108;1108;1888.038
1109;1109;1889.746
1110;1110;1891.456
1111;1111;1893.164
1112;1112;1894.87
1113;1113;1896.58
1114;1114;1898.288
1115;1115;1899.996
1116;1116;1901.706
1117;1117;1903.414
1118;1118;1905.122
1119;1119;1906.83
1120;1120;1908.54
1121;1121;1910.248
1122;1122;1911.956
1123;1123;1913.666
1124;1124;1915.374
1125;1125;1917.084
1126;1126;1918.792
1127;1127;1920.502
1128;1128;1922.21
1129;1129;1923.918
1130;1130;1925.628
1131;1131;1927.338
1132;1132;1929.046
1133;1133;1930.754
1134;1134;1932.464
1135;1135;1934.174
1136;1136;1935.882
1137;1137;1937.592
1138;1138;1939.302
1139;1139;1941.01
1140;1140;1942.72
1141;1141;1944.428
1142;1142;1946.136
1143;1143;1947.848
1144;1144;1949.558
1145;1145;1951.268
1146;1146;1952.976
1147;1147;1954.684
1148;1148;1956.394
1149;1149;1958.104
1150;1150;1959.814
1151;1151;1961.524
1152;1152;1963.234
1153;1153;1964.944
1154;1154;1966.654
1155;1155;1968.362
1156;1156;1970.072
1157;1157;1971.782
1158;1158;1973.492
1159;1159;1975.2
1160;1160;1976.91
1161;1161;1978.62
1162;1162;1980.33
1163;1163;1982.04
1164;1164;1983.748
1165;1165;1985.458
1166;1166;1987.166
1167;1167;1988.874
1168;1168;1990.582
1169;1169;1992.29
1170;1170;1994
1171;1171;1995.708
1172;1172;1997.416
1173;1173;1999.124
1174;1174;2000.83
1175;1175;2002.538
1176;1176;2004.246
1177;1177;2005.954
1178;1178;2007.662
1179;1179;2009.37
1180;1180;2011.076
1181;1181;2012.784
1182;1182;2014.492
1183;1183;2016.2
1184;1184;2017.908
1185;1185;2019.614
1186;1186;2021.322
1187;1187;2023.03
